store_id,uptime_last_hour,downtime_last_hour,uptime_last_day,downtime_last_day,uptime_last_week,downtime_last_week
a43f034e-bd63-4ea6-815e-6d77a7d284e5,60.0,0.0,12.879214,0.120508,102.29024,0.556227
3f686aed-e521-4214-afdc-2cc3eb78184c,0.0,60.0,0.0,10.5,0.0,75.347659
1b1cf7ec-0e22-4143-8552-76bb3335ff49,0.0,60.0,0.0,23.999722,0.0,167.845475
8e5321bd-074c-46e6-a706-b7de57817752,60.0,0.0,14.675717,0.074006,101.761085,1.583249
d3866435-17e5-46c4-900f-46f08785c85e,60.0,0.0,9.67536,0.07464,77.542804,0.552255
0c635edf-84f7-434f-a8bf-40354c2ab23e,60.0,0.0,17.921721,0.078001,125.276388,0.566692
264bc16a-293e-498d-bdf7-df231171e875,60.0,0.0,11.421084,0.078916,79.769882,0.574121
a1b91f50-3cc6-43ad-b803-5d179ea0a124,0.0,60.0,0.0,9.999722,0.0,72.841666
b91c8987-0d4e-44a4-bb15-3811cdaf9f4b,60.0,0.0,10.525662,0.224338,78.387467,1.455625
86983f6d-e914-4b6b-b9bb-075ff87d9832,60.0,0.0,11.918641,0.081359,85.208461,0.600062
a2baf926-1bff-4b0f-93f8-f947a4160a1e,0.0,60.0,0.0,9.999722,0.0,72.839382
89ae011b-4597-4210-9e31-e412e1aae85a,0.0,60.0,0.0,23.999722,0.0,144.839322
5b72c5be-b929-4c0c-86db-64fe87955e79,60.0,0.0,11.416469,0.583531,90.737198,3.601703
50e2ab2c-6c0f-42b9-923c-457987719de1,0.0,60.0,0.0,12.983333,0.0,90.722232
5f8b738c-5895-4b6c-bd47-f20cb9fac521,60.0,0.0,14.270802,0.22892,100.607883,0.728896
ae3a009e-b89d-4142-b142-fb99e631c91f,60.0,0.0,11.414455,0.585545,90.722558,3.614245
55c016d5-6321-41b5-a84c-cb9238b3dfa7,60.0,0.0,12.764324,0.219009,89.987484,0.732626
46bd0cf0-9b6c-485a-b355-7b9ec1b5c123,0.0,60.0,0.0,14.999722,0.0,114.834337
